id,data,timestamp,vehicle_id,sensor
14469,1117,"2022-03-26 20:55:57",FG868XN,rpm
14477,1247,"2022-03-26 20:56:00",FG868XN,rpm
14485,933,"2022-03-26 20:56:03",FG868XN,rpm
14493,865,"2022-03-26 20:56:07",FG868XN,rpm
14501,815,"2022-03-26 20:56:10",FG868XN,rpm
14509,1849,"2022-03-26 20:56:13",FG868XN,rpm
14517,1654,"2022-03-26 20:56:17",FG868XN,rpm
14525,1088,"2022-03-26 20:56:20",FG868XN,rpm
14533,1140,"2022-03-26 20:56:23",FG868XN,rpm
14541,1250,"2022-03-26 20:56:27",FG868XN,rpm
14549,1128,"2022-03-26 20:56:30",FG868XN,rpm
14557,1279,"2022-03-26 20:56:33",FG868XN,rpm
14565,1106,"2022-03-26 20:56:37",FG868XN,rpm
14573,917,"2022-03-26 20:56:40",FG868XN,rpm
14581,856,"2022-03-26 20:56:43",FG868XN,rpm
14589,1765,"2022-03-26 20:56:46",FG868XN,rpm
14597,1317,"2022-03-26 20:56:50",FG868XN,rpm
14605,1687,"2022-03-26 20:56:53",FG868XN,rpm
14613,1755,"2022-03-26 20:56:56",FG868XN,rpm
14621,1880,"2022-03-26 20:57:00",FG868XN,rpm
14629,1183,"2022-03-26 20:57:03",FG868XN,rpm
14637,1118,"2022-03-26 20:57:06",FG868XN,rpm
14645,934,"2022-03-26 20:57:10",FG868XN,rpm
14653,873,"2022-03-26 20:57:13",FG868XN,rpm
14661,1307,"2022-03-26 20:57:16",FG868XN,rpm
14669,1022,"2022-03-26 20:57:20",FG868XN,rpm
14677,917,"2022-03-26 20:57:23",FG868XN,rpm
14685,891,"2022-03-26 20:57:26",FG868XN,rpm
14693,975,"2022-03-26 20:57:30",FG868XN,rpm
14701,1430,"2022-03-26 20:57:33",FG868XN,rpm
14709,1304,"2022-03-26 20:57:36",FG868XN,rpm
14717,1046,"2022-03-26 20:57:40",FG868XN,rpm
14725,875,"2022-03-26 20:57:43",FG868XN,rpm
14733,854,"2022-03-26 20:57:46",FG868XN,rpm
14741,829,"2022-03-26 20:57:50",FG868XN,rpm
14749,781,"2022-03-26 20:57:53",FG868XN,rpm
14757,778,"2022-03-26 20:57:56",FG868XN,rpm
14765,782,"2022-03-26 20:58:00",FG868XN,rpm
14773,1507,"2022-03-26 20:58:03",FG868XN,rpm
14781,1079,"2022-03-26 20:58:06",FG868XN,rpm
14789,899,"2022-03-26 20:58:10",FG868XN,rpm
14797,1016,"2022-03-26 20:58:13",FG868XN,rpm
14805,1042,"2022-03-26 20:58:16",FG868XN,rpm
14813,831,"2022-03-26 20:58:20",FG868XN,rpm
14821,722,"2022-03-26 20:58:23",FG868XN,rpm
14829,884,"2022-03-26 20:58:26",FG868XN,rpm
14837,803,"2022-03-26 20:58:30",FG868XN,rpm
14845,937,"2022-03-26 20:58:33",FG868XN,rpm
14853,901,"2022-03-26 20:58:36",FG868XN,rpm
14861,832,"2022-03-26 20:58:40",FG868XN,rpm
14869,834,"2022-03-26 20:58:43",FG868XN,rpm
14877,919,"2022-03-26 20:58:46",FG868XN,rpm
14885,1280,"2022-03-26 20:58:49",FG868XN,rpm
14893,1161,"2022-03-26 20:58:53",FG868XN,rpm
14901,900,"2022-03-26 20:58:56",FG868XN,rpm
14909,778,"2022-03-26 20:58:59",FG868XN,rpm
14917,1117,"2022-03-26 20:59:03",FG868XN,rpm
14925,1007,"2022-03-26 20:59:06",FG868XN,rpm
14933,1041,"2022-03-26 20:59:09",FG868XN,rpm
14941,886,"2022-03-26 20:59:13",FG868XN,rpm
14949,831,"2022-03-26 20:59:16",FG868XN,rpm
14957,897,"2022-03-26 20:59:19",FG868XN,rpm
14965,922,"2022-03-26 20:59:23",FG868XN,rpm
14973,881,"2022-03-26 20:59:26",FG868XN,rpm
14981,816,"2022-03-26 20:59:29",FG868XN,rpm
14989,852,"2022-03-26 20:59:33",FG868XN,rpm
14997,846,"2022-03-26 20:59:36",FG868XN,rpm
15005,930,"2022-03-26 20:59:39",FG868XN,rpm
15013,895,"2022-03-26 20:59:43",FG868XN,rpm
15021,821,"2022-03-26 20:59:46",FG868XN,rpm
15029,963,"2022-03-26 20:59:49",FG868XN,rpm
15037,834,"2022-03-26 20:59:53",FG868XN,rpm
15045,814,"2022-03-26 20:59:56",FG868XN,rpm
15053,930,"2022-03-26 20:59:59",FG868XN,rpm
15061,899,"2022-03-26 21:00:03",FG868XN,rpm
15069,835,"2022-03-26 21:00:06",FG868XN,rpm
15077,938,"2022-03-26 21:00:09",FG868XN,rpm
15085,1255,"2022-03-26 21:00:12",FG868XN,rpm
15093,917,"2022-03-26 21:00:16",FG868XN,rpm
15101,844,"2022-03-26 21:00:19",FG868XN,rpm
15109,813,"2022-03-26 21:00:22",FG868XN,rpm
15117,764,"2022-03-26 21:00:26",FG868XN,rpm
15125,789,"2022-03-26 21:00:29",FG868XN,rpm
15133,789,"2022-03-26 21:00:32",FG868XN,rpm
15141,891,"2022-03-26 21:00:36",FG868XN,rpm
15149,911,"2022-03-26 21:00:39",FG868XN,rpm
15157,824,"2022-03-26 21:00:42",FG868XN,rpm
15165,776,"2022-03-26 21:00:46",FG868XN,rpm
15173,902,"2022-03-26 21:00:49",FG868XN,rpm
15181,870,"2022-03-26 21:00:52",FG868XN,rpm
15189,801,"2022-03-26 21:00:56",FG868XN,rpm
15197,842,"2022-03-26 21:00:59",FG868XN,rpm
15205,875,"2022-03-26 21:01:02",FG868XN,rpm
15213,809,"2022-03-26 21:01:06",FG868XN,rpm
15221,819,"2022-03-26 21:01:09",FG868XN,rpm
15229,780,"2022-03-26 21:01:12",FG868XN,rpm
15237,878,"2022-03-26 21:01:16",FG868XN,rpm
15245,897,"2022-03-26 21:01:19",FG868XN,rpm
15253,890,"2022-03-26 21:01:22",FG868XN,rpm
15261,776,"2022-03-26 21:01:26",FG868XN,rpm
15269,952,"2022-03-26 21:01:29",FG868XN,rpm
15277,903,"2022-03-26 21:01:32",FG868XN,rpm
15285,909,"2022-03-26 21:01:36",FG868XN,rpm
15293,812,"2022-03-26 21:01:39",FG868XN,rpm
15301,1118,"2022-03-26 21:01:42",FG868XN,rpm
15309,981,"2022-03-26 21:01:46",FG868XN,rpm
15317,901,"2022-03-26 21:01:49",FG868XN,rpm
15325,847,"2022-03-26 21:01:52",FG868XN,rpm
15333,878,"2022-03-26 21:01:56",FG868XN,rpm
15341,884,"2022-03-26 21:01:59",FG868XN,rpm
15349,841,"2022-03-26 21:02:02",FG868XN,rpm
15357,749,"2022-03-26 21:02:06",FG868XN,rpm
15365,717,"2022-03-26 21:02:09",FG868XN,rpm
15373,1034,"2022-03-26 21:02:12",FG868XN,rpm
15381,728,"2022-03-26 21:02:16",FG868XN,rpm
15389,813,"2022-03-26 21:02:19",FG868XN,rpm
15397,1549,"2022-03-26 21:02:22",FG868XN,rpm
15405,952,"2022-03-26 21:02:26",FG868XN,rpm
15413,880,"2022-03-26 21:02:29",FG868XN,rpm
15421,853,"2022-03-26 21:02:32",FG868XN,rpm
15429,1093,"2022-03-26 21:02:36",FG868XN,rpm
15437,892,"2022-03-26 21:02:39",FG868XN,rpm
15445,845,"2022-03-26 21:02:42",FG868XN,rpm
15453,870,"2022-03-26 21:02:46",FG868XN,rpm
15461,898,"2022-03-26 21:02:49",FG868XN,rpm
15469,842,"2022-03-26 21:02:52",FG868XN,rpm
15477,1455,"2022-03-26 21:02:56",FG868XN,rpm
15485,803,"2022-03-26 21:02:59",FG868XN,rpm
15493,782,"2022-03-26 21:03:02",FG868XN,rpm
15501,786,"2022-03-26 21:03:05",FG868XN,rpm
15509,780,"2022-03-26 21:03:09",FG868XN,rpm
15517,790,"2022-03-26 21:03:12",FG868XN,rpm
15525,804,"2022-03-26 21:03:15",FG868XN,rpm
15533,825,"2022-03-26 21:03:19",FG868XN,rpm
15541,782,"2022-03-26 21:03:22",FG868XN,rpm
15549,780,"2022-03-26 21:03:25",FG868XN,rpm
15557,780,"2022-03-26 21:03:29",FG868XN,rpm
15565,792,"2022-03-26 21:03:32",FG868XN,rpm
15573,774,"2022-03-26 21:03:35",FG868XN,rpm
15581,881,"2022-03-26 21:03:39",FG868XN,rpm
15589,1653,"2022-03-26 21:03:42",FG868XN,rpm
15597,814,"2022-03-26 21:03:45",FG868XN,rpm
15605,808,"2022-03-26 21:03:49",FG868XN,rpm
15613,758,"2022-03-26 21:03:52",FG868XN,rpm
15621,772,"2022-03-26 21:03:55",FG868XN,rpm
15629,981,"2022-03-26 21:03:59",FG868XN,rpm
15637,788,"2022-03-26 21:04:02",FG868XN,rpm
15645,784,"2022-03-26 21:04:05",FG868XN,rpm
15653,786,"2022-03-26 21:04:09",FG868XN,rpm
15661,780,"2022-03-26 21:04:12",FG868XN,rpm
15669,780,"2022-03-26 21:04:15",FG868XN,rpm
15677,758,"2022-03-26 21:04:18",FG868XN,rpm
15685,0,"2022-03-26 21:04:22",FG868XN,rpm
15693,0,"2022-03-26 21:04:25",FG868XN,rpm
15707,803,"2022-03-26 23:43:46",FG868XN,rpm
15715,807,"2022-03-26 23:43:49",FG868XN,rpm
15723,805,"2022-03-26 23:43:53",FG868XN,rpm
15731,807,"2022-03-26 23:43:56",FG868XN,rpm
15739,807,"2022-03-26 23:43:59",FG868XN,rpm
15747,850,"2022-03-26 23:44:03",FG868XN,rpm
15755,849,"2022-03-26 23:44:06",FG868XN,rpm
15763,850,"2022-03-26 23:44:09",FG868XN,rpm
15771,851,"2022-03-26 23:44:13",FG868XN,rpm
15779,851,"2022-03-26 23:44:16",FG868XN,rpm
15787,849,"2022-03-26 23:44:19",FG868XN,rpm
15795,804,"2022-03-26 23:44:23",FG868XN,rpm
15803,804,"2022-03-26 23:44:26",FG868XN,rpm
15811,805,"2022-03-26 23:44:29",FG868XN,rpm
15819,805,"2022-03-26 23:44:33",FG868XN,rpm
15827,803,"2022-03-26 23:44:36",FG868XN,rpm
15835,788,"2022-03-26 23:44:39",FG868XN,rpm
15843,864,"2022-03-26 23:44:43",FG868XN,rpm
15851,825,"2022-03-26 23:44:46",FG868XN,rpm
15859,811,"2022-03-26 23:44:49",FG868XN,rpm
15867,803,"2022-03-26 23:44:53",FG868XN,rpm
15875,795,"2022-03-26 23:44:56",FG868XN,rpm
15883,801,"2022-03-26 23:44:59",FG868XN,rpm
15891,797,"2022-03-26 23:45:03",FG868XN,rpm
15899,804,"2022-03-26 23:45:06",FG868XN,rpm
15907,802,"2022-03-26 23:45:09",FG868XN,rpm
15915,799,"2022-03-26 23:45:12",FG868XN,rpm
15923,808,"2022-03-26 23:45:16",FG868XN,rpm
15931,801,"2022-03-26 23:45:19",FG868XN,rpm
15939,722,"2022-03-26 23:45:22",FG868XN,rpm
15947,1156,"2022-03-26 23:45:26",FG868XN,rpm
15955,873,"2022-03-26 23:45:29",FG868XN,rpm
15963,802,"2022-03-26 23:45:32",FG868XN,rpm
15971,817,"2022-03-26 23:45:36",FG868XN,rpm
15979,800,"2022-03-26 23:45:39",FG868XN,rpm
15987,798,"2022-03-26 23:45:42",FG868XN,rpm
15995,798,"2022-03-26 23:45:46",FG868XN,rpm
16003,802,"2022-03-26 23:45:49",FG868XN,rpm
16011,799,"2022-03-26 23:45:52",FG868XN,rpm
16019,1737,"2022-03-26 23:45:56",FG868XN,rpm
16027,776,"2022-03-26 23:45:59",FG868XN,rpm
16035,798,"2022-03-26 23:46:02",FG868XN,rpm
16043,797,"2022-03-26 23:46:06",FG868XN,rpm
16051,795,"2022-03-26 23:46:09",FG868XN,rpm
16059,795,"2022-03-26 23:46:12",FG868XN,rpm
16067,797,"2022-03-26 23:46:16",FG868XN,rpm
16075,798,"2022-03-26 23:46:19",FG868XN,rpm
16083,798,"2022-03-26 23:46:22",FG868XN,rpm
16091,794,"2022-03-26 23:46:26",FG868XN,rpm
16099,795,"2022-03-26 23:46:29",FG868XN,rpm
16107,797,"2022-03-26 23:46:33",FG868XN,rpm
16115,796,"2022-03-26 23:46:36",FG868XN,rpm
16123,800,"2022-03-26 23:46:39",FG868XN,rpm
16131,798,"2022-03-26 23:46:43",FG868XN,rpm
16139,797,"2022-03-26 23:46:46",FG868XN,rpm
16147,799,"2022-03-26 23:46:49",FG868XN,rpm
16155,797,"2022-03-26 23:46:53",FG868XN,rpm
16163,795,"2022-03-26 23:46:56",FG868XN,rpm
16171,795,"2022-03-26 23:46:59",FG868XN,rpm
16179,792,"2022-03-26 23:47:03",FG868XN,rpm
16187,814,"2022-03-26 23:47:06",FG868XN,rpm
16195,832,"2022-03-26 23:47:10",FG868XN,rpm
16203,789,"2022-03-26 23:47:13",FG868XN,rpm
16211,862,"2022-03-26 23:47:16",FG868XN,rpm
16219,1119,"2022-03-26 23:47:20",FG868XN,rpm
16227,826,"2022-03-26 23:47:23",FG868XN,rpm
16235,794,"2022-03-26 23:47:26",FG868XN,rpm
